recording_id,source_url,source_title,duration_seconds,subtitles,region,recording_type,audio_quality,status,notes,speaker_group_id,dataset_split,segmentation_status,transcription_status,normalization_status,usable_duration_seconds,annotation_notes
REC010,https://www.youtube.com/watch?v=pBXZejTaRRw,Tamazight - History - Lesson 10 - Part 1 - Educational purposes,701,no,Hocima,Educational video,Good,Accepted,,SPK001,train,DONE,not_started,not_started,,
REC011,https://www.youtube.com/watch?v=9KbtkiXX2_o,Tamazight - History - Lesson 10 - Part 2A - Educational purposes,1022,no,Hocima,Educational video,Good,Accepted,,SPK001,train,DONE,not_started,not_started,,
REC012,https://www.youtube.com/watch?v=gqcrAorHmng&t=9s,Tamazight - History - Lesson 10 - Part 3 - Educational purposes,987,no,Hocima,Educational video,Good,Accepted,,SPK001,train,DONE,not_started,not_started,,
REC013,https://www.youtube.com/watch?v=xZG9EEU6xyc,Tamazight - History - Lesson 10 - Part 4 - Educational purposes,996,no,Hocima,Educational video,Good,Accepted,,SPK001,train,DONE,not_started,not_started,,
REC014,https://www.youtube.com/watch?v=6t7EoRoupR4,Tamazight - History - Lesson 10 - Part 5 - Educational purposes,316,no,Hocima,Educational video,Good,Accepted,,SPK001,train,DONE,not_started,not_started,,
REC015,https://www.youtube.com/watch?v=_uQcpw88yQk,Tamazight - History - Lesson 10 - Part 2B - Educational purposes,1204,no,Hocima,Educational video,Good,Accepted,,SPK001,train,DONE,not_started,not_started,,
REC016,https://www.youtube.com/watch?v=JBkkoZXMIs0,Tamazight - History - Lesson 10 - Part 2C - Educational purposes,989,no,Hocima,Educational video,Good,Accepted,,SPK001,train,DONE,not_started,not_started,,
REC034,https://www.youtube.com/watch?v=JdBMvhcnBwY,THAGHIMITT Ep5- Oghari bo rweqth. | Why we don't have time ?,940,no,Hocima,Story telling,Good,Accepted,,SPK002,train,DONE,not_started,not_started,,
REC035,https://www.youtube.com/watch?v=RgM8Rrkrr88,Thaghimitt Ep.1 | Iress Arifi (Riffian Tongue),1134,no,Hocima,Story telling,Good,Accepted,,SPK002,train,DONE,not_started,not_started,,
REC036,https://www.youtube.com/watch?v=bN5AycQ3BfU," Thaghimitt Ep.2 - L'car n Valenciana , or Social Heritage ",713,no,Hocima,Story telling,Good,Accepted,,SPK002,train,DONE,not_started,not_started,,
REC037,https://www.youtube.com/watch?v=eEM3l7aa1No&t=84s,Thaghimitt Ep.3 - Shakespeare issawar Tharifith,487,no,Hocima,Story telling,Good,Accepted,,SPK002,train,DONE,not_started,not_started,,
REC038,https://www.youtube.com/watch?v=1RhwrL4BPm4,Thaghimitt Ep.4 | Awar n yewdhan,923,no,Hocima,Story telling,Good,Accepted,,SPK002,train,DONE,not_started,not_started,,
REC051,https://www.youtube.com/watch?v=57-3DTbOVyg,(RIF) Podcast met CD&V Ali El Moussaoui,1872,no,Hocima,Podcast,Good,Accepted,,SPK003,test,DONE,not_started,not_started,,
REC052,https://www.youtube.com/watch?v=XgB43zH3kw0&t=35s,(RIF) in gesprek met Abdeslam El Ghamri van GROEN,1962,no,Hocima,Podcast,Good,Accepted,,SPK003,test,DONE,not_started,not_started,,
REC059,https://www.youtube.com/watch?v=OP5h-lH9s8k,Riffijns nieuws 9 oktober 2020,636,no,Hocima,News,Good,Accepted,,SPK004,test,DONE,not_started,not_started,,
REC080,https://www.youtube.com/watch?v=O7_xu4Vtix8,corona s tmaziɣt Tarifit أطباء يشرحون بالريفية\الأمازيغية ماهي كورونا وكيفية الوقاية منها3,951,no,Hocima,Informational,Good,Accepted,,SPK006,test,DONE,not_started,not_started,,
REC090,https://www.youtube.com/watch?v=owezSpxsmj0,Tussen Hshouma & Sabr | Aflevering 1 Meriem | Huiselijk geweld,2970,no,Neutral,Podcast,Good,Accepted,dutch intro,SPK007,validation,DONE,not_started,not_started,,
REC091,https://www.instagram.com/p/DWuIEuqIJk6/,novels of a rifian writer,162,no,Hocima,Review,Good,Accepted,,SPK008,test,DONE,not_started,not_started,,
REC092,https://www.instagram.com/p/DWuIEuqIJk6/,10 books about rif,179,no,Hocima,Review,Good,Accepted,,SPK008,test,DONE,not_started,not_started,,
REC094,https://tarifit.info/en/audio,RIF_MAT_01,234,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC095,https://tarifit.info/en/audio,RIF_MAT_02,293,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC096,https://tarifit.info/en/audio,RIF_MAT_03,199,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC097,https://tarifit.info/en/audio,RIF_MAT_04,285,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC098,https://tarifit.info/en/audio,RIF_MAT_05,559,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC099,https://tarifit.info/en/audio,RIF_MAT_06,395,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC100,https://tarifit.info/en/audio,RIF_MAT_07,311,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC101,https://tarifit.info/en/audio,RIF_MAT_08,361,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC102,https://tarifit.info/en/audio,RIF_MAT_09,382,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC103,https://tarifit.info/en/audio,RIF_MAT_10,430,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC104,https://tarifit.info/en/audio,RIF_MAT_11,326,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC105,https://tarifit.info/en/audio,RIF_MAT_12,567,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC106,https://tarifit.info/en/audio,RIF_MAT_13,652,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC107,https://tarifit.info/en/audio,RIF_MAT_14,336,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC108,https://tarifit.info/en/audio,RIF_MAT_15,382,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC109,https://tarifit.info/en/audio,RIF_MAT_16,319,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC110,https://tarifit.info/en/audio,RIF_MAT_17,319,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC111,https://tarifit.info/en/audio,RIF_MAT_18,409,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC112,https://tarifit.info/en/audio,RIF_MAT_19,355,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC113,https://tarifit.info/en/audio,RIF_MAT_20,389,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC114,https://tarifit.info/en/audio,RIF_MAT_21,520,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC115,https://tarifit.info/en/audio,RIF_MAT_22,404,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC116,https://tarifit.info/en/audio,RIF_MAT_23,441,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC117,https://tarifit.info/en/audio,RIF_MAT_24,451,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC118,https://tarifit.info/en/audio,RIF_MAT_25,445,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC119,https://tarifit.info/en/audio,RIF_MAT_26,772,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC120,https://tarifit.info/en/audio,RIF_MAT_27,646,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC121,https://tarifit.info/en/audio,RIF_MAT_28,220,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC122,https://tarifit.info/en/audio,RIF_MRK_01,439,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC123,https://tarifit.info/en/audio,RIF_MRK_02,273,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC124,https://tarifit.info/en/audio,RIF_MRK_03,330,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC125,https://tarifit.info/en/audio,RIF_MRK_04,442,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC126,https://tarifit.info/en/audio,RIF_MRK_05,394,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC127,https://tarifit.info/en/audio,RIF_MRK_06,608,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC128,https://tarifit.info/en/audio,RIF_MRK_07,375,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC129,https://tarifit.info/en/audio,RIF_MRK_08,358,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC130,https://tarifit.info/en/audio,RIF_MRK_09,483,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC131,https://tarifit.info/en/audio,RIF_MRK_10,506,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC132,https://tarifit.info/en/audio,RIF_MRK_11,333,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC133,https://tarifit.info/en/audio,RIF_MRK_12,489,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC134,https://tarifit.info/en/audio,RIF_MRK_13,345,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC135,https://tarifit.info/en/audio,RIF_MRK_14,753,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC136,https://tarifit.info/en/audio,RIF_MRK_15,458,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
REC137,https://tarifit.info/en/audio,RIF_MRK_16,228,yes,Neutral,read religious speech,Good,Accepted,,SPK009,train,not_started,not_started,not_started,,
